"location","cdr","65_Older","70_Older","diabetes","female_smokers","male_smokers"
"Uzbekistan","724.417","4.469","2.873","7.57","1.3","24.7"
"Afghanistan","597.029","2.581","1.337","9.59",NULL,NULL
"Papua New Guinea","561.494","3.808","2.142","17.65","23.5","48.8"
"Azerbaijan","559.812","6.018","3.871","7.11","0.3","42.5"
"Marshall Islands","557.793",NULL,NULL,"30.53",NULL,NULL
"Vanuatu","546.3","4.394","2.62","12.02","2.8","34.5"
"Ukraine","539.849","16.462","11.133","7.11","13.5","47.4"
"Egypt","525.432","5.159","2.891","17.31","0.2","50.1"
"Georgia","496.218","14.864","10.244","7.11","5.3","55.5"
"Yemen","495.003","2.922","1.583","5.35","7.6","29.2"
"Kazakhstan","466.792","6.991","4.625","7.11","7","43.1"
"Mongolia","460.043","4.031","2.421","4.82","5.5","46.5"
"Solomon Islands","459.78","3.507","2.043","18.68",NULL,NULL
"Micronesia (country)","454.343","4.81","2.392","12.02",NULL,NULL
"Belarus","443.129","14.799","9.788","5.18","10.5","46.1"
"Serbia","439.415","17.366",NULL,"10.08","37.7","40.2"
"Kyrgyzstan","436.362","4.489","2.882","7.11","3.6","50.5"
"Central African Republic","435.727","3.655","2.251","6.1",NULL,NULL
"Sudan","431.388","3.548","2.034","15.67",NULL,NULL
"Russia","431.297","14.178","9.393","6.18","23.4","58.3"
"Haiti","430.548","4.8","2.954","6.65","2.9","23.1"
"Tajikistan","427.698","3.466","2.155","7.11",NULL,NULL
"Bulgaria","424.688","20.801","13.272","5.81","30.1","44.4"
"Pakistan","423.031","4.495","2.78","8.35","2.8","36.7"
"Morocco","419.146","6.769","4.209","7.14","0.8","47.1"
"Fiji","412.82","6.224","3.284","14.49","10.2","34.8"
"Moldova","408.502","10.864","6.955","5.72","5.9","44.6"
"Madagascar","405.994","2.929","1.686","3.94",NULL,NULL
"Lesotho","405.126","4.506","2.647","3.94","0.4","53.9"
"Montenegro","387.305","14.762","9.395","10.08","44","47.9"
"Guinea-Bissau","382.474","3.002","1.565","2.42",NULL,NULL
"Syria","376.264",NULL,"2.577",NULL,NULL,NULL
"Guyana","373.159","5.305","2.837","11.62",NULL,NULL
"Romania","370.946","17.85","11.69","9.74","22.9","37.1"
"Philippines","370.437","4.803","2.661","7.07","7.8","40.8"
"Laos","368.111","4.029","2.322","4","7.3","51.2"
"Somalia","365.769","2.731","1.496","6.05",NULL,NULL
"Latvia","350.06","19.754","14.136","4.91","25.6","51"
"Samoa","348.977","5.606","3.564","9.21","16.7","38.1"
"Congo","344.094","3.402","2.063","7.2","1.7","52.3"
"Lithuania","342.989","19.002","13.778","3.67","21.3","38"
"Indonesia","342.864","5.319","3.053","6.32","2.8","76.1"
"Libya","341.862","4.424","2.816","10.43",NULL,NULL
"Armenia","341.01","11.232","7.571","7.11","1.5","52.1"
"Guinea","336.717","3.135","1.733","2.42",NULL,NULL
"Timor","335.346","3.556","1.897","6.86","6.3","78.1"
"Eswatini","333.436","3.163","1.845","3.94","1.7","16.5"
"Gambia","331.43","2.339","1.417","1.91","0.7","31.2"
"Mozambique","329.942","3.158","1.87","3.3","5.1","29.1"
"Bosnia and Herzegovina","329.635","16.569","10.711","10.08","30.2","47.7"
"Sierra Leone","325.721","2.538","1.285","2.42","8.8","41.3"
"North Macedonia","322.688","13.26","8.16","10.08",NULL,NULL
