"location","percent_deaths","development_index"
"Norway","0.013945143935651647","0.957"
"Ireland","0.09929531313160771","0.955"
"Switzerland","0.12284770974293725","0.955"
"Hong Kong",NULL,"0.949"
"Iceland","0.008498168498168498","0.949"
"Germany","0.0991800994808731","0.947"
"Sweden","0.1390991626127433","0.945"
"Australia","0.0035686441046528803","0.944"
"Netherlands","0.1015356227034773","0.944"
"Denmark","0.042885237275005726","0.94"
"Finland","0.016496057009217937","0.938"
"Singapore","0.000512790446645607","0.938"
"United Kingdom","0.18821994589635885","0.932"
"Belgium","0.20906646087325065","0.931"
"New Zealand","0.0005391693018566295","0.931"
"Canada","0.06417227293077075","0.929"
"United States","0.17408682535399786","0.926"
"Austria","0.11330831408775982","0.922"
"Israel","0.07351360244264339","0.919"
"Japan","0.00806395131653671","0.919"
"Liechtenstein","0.14946115321079265","0.919"
"Slovenia","0.20443189099018153","0.917"
"South Korea","0.003571346163249764","0.916"
"Luxembourg","0.12716142471915856","0.916"
"Spain","0.1672898364216555","0.904"
"France","0.15360022417195174","0.901"
"Czechia","0.27329395081624","0.9"
"Malta","0.09353647129698622","0.895"
"Estonia","0.08752098505961754","0.892"
"Italy","0.1998070584303207","0.892"
"United Arab Emirates","0.016045862654695462","0.89"
"Greece","0.099596509891149","0.888"
"Cyprus","0.035163871633601594","0.887"
"Lithuania","0.14410656318519952","0.882"
"Poland","0.1783568169456679","0.88"
"Andorra","0.16178088397075002","0.868"
"Latvia","0.11297835544655344","0.866"
"Portugal","0.1664655069523916","0.864"
"Slovakia","0.21400666673626828","0.86"
"Saudi Arabia","0.019983416378306956","0.854"
"Hungary","0.2850828386135078","0.854"
"Bahrain","0.03796464821287002","0.852"
"Chile","0.13785683134140247","0.851"
"Croatia","0.17248569399123273","0.851"
"Qatar","0.015896926825543375","0.848"
"Argentina","0.14130745003012118","0.845"
"Brunei","0.0006857409316476298","0.838"
"Montenegro","0.23803382468609788","0.829"
"Romania","0.1461142771774687","0.828"
"Kazakhstan","0.017756042100459894","0.825"
"Russia","0.07420454360128513","0.824"
"Belarus","0.026901403815152436","0.823"
"Turkey","0.04758293093282618","0.82"
"Uruguay","0.07530816324944362","0.817"
"Bulgaria","0.23600963956683835","0.816"
"Panama","0.144434185105665","0.815"
"Bahamas","0.05060419887704451","0.814"
"Barbados","0.015311217902989517","0.814"
