location,date,highestinfectioncount,percentpopulationinfected
Mexico,1/1/2020,0,0
Argentina,1/1/2020,0,0
Argentina,1/2/2020,0,0
Mexico,1/2/2020,0,0
Argentina,1/3/2020,0,0
Mexico,1/3/2020,0,0
Argentina,1/4/2020,0,0
Mexico,1/4/2020,0,0
Thailand,1/4/2020,0,0
Thailand,1/5/2020,0,0
Argentina,1/5/2020,0,0
Mexico,1/5/2020,0,0
Argentina,1/6/2020,0,0
Mexico,1/6/2020,0,0
Peru,1/6/2020,0,0
Thailand,1/6/2020,0,0
Peru,1/7/2020,0,0
Thailand,1/7/2020,0,0
Mexico,1/7/2020,0,0
Argentina,1/7/2020,0,0
Mexico,1/8/2020,0,0
Argentina,1/8/2020,0,0
Peru,1/8/2020,0,0
Thailand,1/8/2020,0,0
Thailand,1/9/2020,0,0
Peru,1/9/2020,0,0
Argentina,1/9/2020,0,0
Mexico,1/9/2020,0,0
Mexico,1/10/2020,0,0
Argentina,1/10/2020,0,0
Thailand,1/10/2020,0,0
Peru,1/10/2020,0,0
Peru,1/11/2020,0,0
Thailand,1/11/2020,0,0
Argentina,1/11/2020,0,0
Mexico,1/11/2020,0,0
Peru,1/12/2020,0,0
Mexico,1/12/2020,0,0
Thailand,1/12/2020,0,0
Argentina,1/12/2020,0,0
Mexico,1/13/2020,0,0
Argentina,1/13/2020,0,0
Thailand,1/13/2020,0,0
Peru,1/13/2020,0,0
Peru,1/14/2020,0,0
Thailand,1/14/2020,0,0
Mexico,1/14/2020,0,0
Argentina,1/14/2020,0,0
Mexico,1/15/2020,0,0
Argentina,1/15/2020,0,0
Thailand,1/15/2020,0,0
Peru,1/15/2020,0,0
Thailand,1/16/2020,0,0
Peru,1/16/2020,0,0
Taiwan,1/16/2020,0,0
Argentina,1/16/2020,0,0
Mexico,1/16/2020,0,0
Argentina,1/17/2020,0,0
Mexico,1/17/2020,0,0
Taiwan,1/17/2020,0,0
Thailand,1/17/2020,0,0
Peru,1/17/2020,0,0
Taiwan,1/18/2020,0,0
Thailand,1/18/2020,0,0
Peru,1/18/2020,0,0
Mexico,1/18/2020,0,0
Argentina,1/18/2020,0,0
Argentina,1/19/2020,0,0
Mexico,1/19/2020,0,0
Taiwan,1/19/2020,0,0
Thailand,1/19/2020,0,0
Peru,1/19/2020,0,0
Thailand,1/20/2020,0,0
Peru,1/20/2020,0,0
Taiwan,1/20/2020,0,0
Argentina,1/20/2020,0,0
Mexico,1/20/2020,0,0
Mexico,1/21/2020,0,0
Argentina,1/21/2020,0,0
South Korea,1/21/2020,0,0
Thailand,1/21/2020,0,0
Taiwan,1/21/2020,0,0
Peru,1/21/2020,0,0
South Korea,1/22/2020,1,1.95E-06
Thailand,1/22/2020,4,5.73E-06
United States,1/22/2020,1,3.02E-07
World,1/22/2020,557,7.15E-06
Peru,1/22/2020,0,0
Taiwan,1/22/2020,1,4.20E-06
North America,1/22/2020,1,1.69E-07
Argentina,1/22/2020,0,0
China,1/22/2020,548,3.81E-05
Asia,1/22/2020,556,1.20E-05
Japan,1/22/2020,2,1.58E-06
Mexico,1/22/2020,0,0
Asia,1/23/2020,654,1.41E-05
Vietnam,1/23/2020,2,2.05E-06
European Union,1/23/2020,0,0
Japan,1/23/2020,2,1.58E-06
Mexico,1/23/2020,0,0
China,1/23/2020,643,4.47E-05
Argentina,1/23/2020,0,0
Europe,1/23/2020,0,0
Thailand,1/23/2020,4,5.73E-06
World,1/23/2020,655,8.40E-06
Taiwan,1/23/2020,1,4.20E-06
Peru,1/23/2020,0,0
United States,1/23/2020,1,3.02E-07
South Korea,1/23/2020,1,1.95E-06
Singapore,1/23/2020,1,1.71E-05
North America,1/23/2020,1,1.69E-07
Taiwan,1/24/2020,3,1.26E-05
Thailand,1/24/2020,5,7.16E-06
South Korea,1/24/2020,2,3.90E-06
North America,1/24/2020,2,3.38E-07
Singapore,1/24/2020,3,5.13E-05
Vietnam,1/24/2020,2,2.05E-06
World,1/24/2020,941,1.21E-05
United States,1/24/2020,2,6.04E-07
France,1/24/2020,2,2.93E-06
Peru,1/24/2020,0,0
Argentina,1/24/2020,0,0
Japan,1/24/2020,2,1.58E-06
Asia,1/24/2020,937,2.02E-05
China,1/24/2020,920,6.39E-05
Europe,1/24/2020,2,2.67E-07
Mexico,1/24/2020,0,0
European Union,1/24/2020,2,4.50E-07
Mexico,1/25/2020,0,0
Europe,1/25/2020,3,4.01E-07
Malaysia,1/25/2020,3,9.27E-06
Argentina,1/25/2020,0,0
France,1/25/2020,3,4.40E-06
European Union,1/25/2020,3,6.74E-07
Japan,1/25/2020,2,1.58E-06
Asia,1/25/2020,1428,3.08E-05
China,1/25/2020,1406,9.77E-05
North America,1/25/2020,2,3.38E-07
Vietnam,1/25/2020,2,2.05E-06
South Korea,1/25/2020,2,3.90E-06
Singapore,1/25/2020,3,5.13E-05
Peru,1/25/2020,0,0
Thailand,1/25/2020,6,8.60E-06
Oceania,1/25/2020,0,0
United States,1/25/2020,2,6.04E-07
Nepal,1/25/2020,1,3.43E-06
World,1/25/2020,1433,1.84E-05
Taiwan,1/25/2020,3,1.26E-05
North America,1/26/2020,6,1.01E-06
Taiwan,1/26/2020,4,1.68E-05
United States,1/26/2020,5,1.51E-06
World,1/26/2020,2118,2.72E-05
Peru,1/26/2020,0,0
South Korea,1/26/2020,3,5.85E-06
Oceania,1/26/2020,4,9.37E-06
Thailand,1/26/2020,8,1.15E-05
Singapore,1/26/2020,4,6.84E-05
Nepal,1/26/2020,1,3.43E-06
Australia,1/26/2020,4,1.57E-05
France,1/26/2020,3,4.40E-06
Canada,1/26/2020,1,2.65E-06
Mexico,1/26/2020,0,0
Argentina,1/26/2020,0,0
Vietnam,1/26/2020,2,2.05E-06
European Union,1/26/2020,3,6.74E-07
Europe,1/26/2020,3,4.01E-07
Asia,1/26/2020,2105,4.54E-05
Malaysia,1/26/2020,4,1.24E-05
Japan,1/26/2020,4,3.16E-06
China,1/26/2020,2075,0.000144165
Japan,1/27/2020,4,3.16E-06
Europe,1/27/2020,4,5.34E-07
European Union,1/27/2020,4,8.99E-07
France,1/27/2020,3,4.40E-06
Malaysia,1/27/2020,4,1.24E-05
Asia,1/27/2020,2912,6.28E-05
Mexico,1/27/2020,0,0
Argentina,1/27/2020,0,0
Peru,1/27/2020,0,0
Canada,1/27/2020,1,2.65E-06
China,1/27/2020,2877,0.000199886
Cambodia,1/27/2020,1,5.98E-06
Australia,1/27/2020,5,1.96E-05
Germany,1/27/2020,1,1.19E-06
Oceania,1/27/2020,5,1.17E-05
Thailand,1/27/2020,8,1.15E-05
South Korea,1/27/2020,4,7.80E-06
North America,1/27/2020,6,1.01E-06
Vietnam,1/27/2020,2,2.05E-06
Sri Lanka,1/27/2020,1,4.67E-06
Taiwan,1/27/2020,5,2.10E-05
United States,1/27/2020,5,1.51E-06
Nepal,1/27/2020,1,3.43E-06
